::1 - - [22/Oct/2025 18:19:17] "HEAD / HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:19:50] "GET / HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:19:50] "GET /style.css HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:19:50] "GET /template.css HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:19:50] "GET /script-calcolatore.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:19:50] "GET /template.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:24:50] "GET / HTTP/1.1" 304 -
::1 - - [22/Oct/2025 18:24:50] "GET /script-calcolatore.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:26:59] "GET / HTTP/1.1" 304 -
::1 - - [22/Oct/2025 18:26:59] "GET /script-calcolatore.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:29:57] "GET / HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:29:57] "GET /style.css HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:29:57] "GET /template.css HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:29:57] "GET /script-calcolatore.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:29:57] "GET /template.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:31:42] "GET / HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:31:42] "GET /style.css HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:31:42] "GET /template.css HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:31:42] "GET /script-calcolatore.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:31:42] "GET /template.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:32:46] "GET / HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:32:46] "GET /style.css HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:32:46] "GET /template.css HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:32:46] "GET /script-calcolatore.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:32:46] "GET /template.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:33:46] "GET / HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:33:46] "GET /style.css HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:33:46] "GET /template.css HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:33:46] "GET /script-calcolatore.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:33:46] "GET /template.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:36:58] "GET / HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:36:58] "GET /style.css HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:36:58] "GET /template.css HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:36:58] "GET /script-calcolatore.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:36:58] "GET /template.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:39:04] "GET / HTTP/1.1" 304 -
::1 - - [22/Oct/2025 18:39:04] "GET /script-calcolatore.js HTTP/1.1" 304 -
::1 - - [22/Oct/2025 18:39:07] "GET / HTTP/1.1" 304 -
::1 - - [22/Oct/2025 18:39:08] "GET / HTTP/1.1" 304 -
::1 - - [22/Oct/2025 18:40:07] "GET / HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:40:07] "GET /script-calcolatore.js HTTP/1.1" 304 -
::1 - - [22/Oct/2025 18:42:45] "GET / HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:42:45] "GET /script-calcolatore.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:44:40] "GET / HTTP/1.1" 304 -
::1 - - [22/Oct/2025 18:44:40] "GET /script-calcolatore.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:46:08] "GET / HTTP/1.1" 304 -
::1 - - [22/Oct/2025 18:46:08] "GET /script-calcolatore.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:52:38] "GET / HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:52:38] "GET /script-calcolatore.js HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:53:44] "GET / HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:53:44] "GET /script-calcolatore.js HTTP/1.1" 304 -
::1 - - [22/Oct/2025 18:58:03] "GET / HTTP/1.1" 200 -
::1 - - [22/Oct/2025 18:58:03] "GET /script-calcolatore.js HTTP/1.1" 200 -
